numero;description
151;"(Pl. 138). — Gladiateur. Manche de couteau figurant un *secutor*, avec son casque à visière, sa large ceinture, d'où émergent les deux pans du *subligaculam*, ses courroies (*manica*) enveloppant le bras droit, et ses deux jambières. Le torse, les cuisses et le bras gauche sont nus; la main droite tenait un poignard, l'autre, fermée également, a pu tenir une palme. Base cylindrique, façonnée au tour et faisant corps avec la statuette. Haut. 0.072. — Patine noire. — Acheté à J. Lambros, d'Athènes. ---"
152;(Pl. 138). — LAMPE GRECQUE EN FORME DE FIGURINE. La figurine représente un homme en tunique courte, à la tête rase et au visage presque grotesque, probablement un prêtre égyptien, qui tient devant lui, des deux mains, un bec de lampe, comme les pastophores tenaient l'image d'une divinité. Ce bec de lampe remplace le phallus du porteur. Au sommet de la tête, on voit la charnière d'un couvercle. On connaît deux figurines en terre cuite, où les organes sexuels sont également remplacés par un bec de lampe. BRONZES GRECS ET ROMAINS 123 L'une est l'Hélios publié par Dodwell (1), l'autre l'Harmodius de la collection Hoffmann. Haut. 0.068.
153;"(Pl. 139). — Très jolie petite figurine grecque de Bacchus adolescent. Couronné de lierre, une peau de daim sur la poitrine, le dieu tient à sa main droite abaissée un canthare, et son bras gauche s'appuyait sur un thyrse. Le modelé est d'une finesse exquise; la jambe droite supporte le poids du corps. Vente His de la Salle, n. 342. Haut. 0.06."
154;(Pl. 139). — Mars jeune, debout, coiffé d'un casque corinthien et revêtu d'une cuirasse grecque à lambrequins. A sa main droite il tenait une lance, à l'autre un parazonium, c'est-à-dire l'épée dans son fourreau. Comparez la figurine de la Forman Collection (Londres, 1899), n. 98, pl. V. Haut. 0.079. — Patine vert foncé. — Sous les pieds, des tenons de plomb oxydé.
155;"(Pl. 139). — Amour panthée. Il représente, à lui seul, sept divinités différentes. Debout et accoudé sur un cippe, il porte la main droite à la bouche, imitant ainsi le geste d'Harpocrate enfant; il a, comme coiffure, les plumes d'Isis; sa corne d'abondance est empruntée à la Fortune; le carquois, suspendu (1) Dodwell, Classical Tour, t. I, pl. en regard de la p. 412. Il donne la figurine comme venant d'Athènes, mais elle vient de la Basse-Égypte. Clarac la prenait pour une statue de marbre et l'insérait dans son Musée de Sculpture, pl. 821°, n. 2069°, et sachant que Dodwell avait vendu des antiquités au roi de Bavière, il la croyait à Munich. Erreurs rectifiées dans mon Catalogue Bammeville (1893), n. 102. 124 BRONZES GRECS ET ROMAINS à une bandoulière, compte parmi les attributs d'Eros; les autres symboles sont le serpent d'Esculape, le lion-ceau de Cybèle et la chouette de Minerve. On a placé la figurine sur une base antique ornée de trois masques d'acteurs. Haut. 0.05. — Patine vert pâle."
156;(Pl. 140). — Buste drapé de Jupiter Serapis, le boisseau en tête. — Applique de travail alexandrin. Haut. 0.067. — Patine vert foncé.
157;(Pl. 140). — Buste de Minerve, coiffée d'un casque corinthien, l'égide sur la poitrine, les yeux évidés pour être incrustés de pierres. Ce bronze, d'un très joli style, aura servi de tête d'épingle. Haut. 0.050. — Patine vert olive foncé.
158;"(Pl. 141). — Tête d'éphèbe grec, ceinte d'une bandelette, probablement le portrait d'un vainqueur dans les jeux. Nous l'avons fait reproduire deux fois: de face, elle a l'exacte dimension de l'original; profilée à gauche, elle est un peu grandie. Haut. 0.05. — Fonte pleine, patine vert foncé."
159;"(Pl. 141). — Lion marchant; la phototypie le donne un peu plus grand que l'original. Haut. 0.032. Long. 0.050. — Patine vert foncé. BRONZES GRECS ET ROMAINS 125"
160;"(Pl. 142). — Buste de Vénus drapée et diadémée, de beau style grec, copie d'un ouvrage du Ve siècle. Le diadème est ciselé; le chiton, d'une étoffe presque transparente, laisse à découvert le cou et l'épaule gauche. — Décor de meuble. Frœhner, *Bronzes antiques de la collection Gréau*, n. 108. Haut. 0.10. — Patine vert sombre."
161;(Pl. 143). — Buste de Bacchus libyen jeune, fils d'Ammon. Comme son père, il a les cornes et les oreilles d'un bélier. Ses cheveux sont crépus, le front est paré d'un bandeau enjolivé de fleurs et dont les lemnisques retombent sur les épaules. Décor de meuble, de beau style alexandrin. On le prenait longtemps pour un portrait d'Alexandre-le-Grand. Frœhner, *Bronzes antiques de la collection Gréau*, n. 115. Haut. 0.11. — Patine verte.
162;(Pl. 144). — Petit vase orné de hauts-reliefs qui représentent deux chevaux de course victorieux et deux enfants drapés, tenant chacun une palme et s'appuyant sur un bâton. Les parois du vase sont très fortes, et le style des reliefs n'est pas antérieur au IIIe siècle chrétien. En comparant cet objet à nos n°s 67 et 68, on voit que les jeux du cirque, de l'amphithéâtre, et les scènes de chasse fournissaient principalement les motifs de décor pour ces petites boîtes de toilette, dont on se servait après le bain. Catalogue de la vente J. de Rémusat (1900), n. 214 (pl. IX). Haut. 0.065. 126 BRONZES GRECS ET ROMAINS
163;(Pl. 145). — Balance romaine, très complète, avec son peson, ses crochets de suspension et toutes ses chainettes, au nombre de cinq. L'échelle métrique, gravée sur le fléau, est celle-ci: XI X VIII VIII VII VI V III III II I XXXX V XXX V XX V X Sur la pièce oblongue qui termine le fléau on lit deux inscriptions en lettres ponctuées: ![img-0.jpeg](img-0.jpeg) Revers: ![img-1.jpeg](img-1.jpeg) $T(\text{iberio})$ $\text{Clau}(\text{dio})$ $\text{Ca}(\text{e})\text{s}(\text{are})$ III, $L(\text{ucio})$ $\text{Vitel}(\text{lio})$ $\text{co}(\text{n})\text{s}(\text{ulibus})$, (statera exacta ad) $p(\text{ondera})$ $\text{Articuleia}(\text{na})$ $\text{iussu aedil}(\text{iun})$. Il s'agit de l'an 47 de notre ère (800 de Rome) et du quatrième consulat de l'empereur Claude, dont le prénom était $T(i(\text{berius})$, non pas $T(\text{itus})$. Claude exerçait alors les fonctions de censeur. La balance avait été régularisée d'après un poids officiel qu'on appelle ici *pondus Articuleianum*, du nom d'un *Articuleius*, probablement l'un des édiles de Rome. Dans les épigrammes de Martial VIII, 71, 6 il est question de la *libra Septi-ciana*. M. Dressel me renvoie aux *Annali dell' Instituto* 1881, p. 181, où M. Gatti a relevé des inscriptions toutes BRONZES GRECS ET ROMAINS 127 pareilles sur un fléau de balance trouvé à Herculanum et sur plusieurs poids de pierre. On sait que les édiles avaient la police des marchés et la surveillance des poids et mesures, du moins au Ier siècle de notre ère. Une feuille lancéolée est fixée au bout d'une des chainettes. Le peson figure un buste de Bacchante, drapée et couronnée de lierre en fleur. Trouvée en Campanie. Frœhner, Cat. de la vente Hoffmann (1899), n. 527. Long. du fléau 0.31. — Très belle patine vert et bleu turquoise.
